Visual Studio Derleme Araçları 2022|17.14.30
SoundCloud|1.0
Jellyfin|1.0
Hattrick|1.0
Google Gemini|1.0
YouTube|1.0
Kick|1.0
DeepL Translate|1.0
Discord|1.0.9234
Flow Launcher|2.1.1
Snappy Driver Installer Origin|1.17.8.829
JDownloader 2|2.0.260331
Rustup: the Rust toolchain installer|1.29.0
Spotify|1.2.87.414.g4e7a1155
Python 3.14.4 (64-bit)|3.14.4150.0
Telegram Desktop|6.7.6
Antigravity (User)|1.23.2
Icons|Portable
1527c705-839a-4832-9118-54d4Bd6a0c89|10.0.19640.1000
c5e2524a-ea46-4f67-841f-6a9465d9d515|10.0.26100.1
E2A4F912-2574-4A75-9BB0-0D023378592B|10.0.19640.1000
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE|10.0.26100.1
Microsoft.AccountsControl|10.0.26100.1
Microsoft.AsyncTextService|10.0.26100.1
Microsoft.BioEnrollment|10.0.19587.1000
Microsoft.CredDialogHost|10.0.19595.1001
Microsoft.Win32WebViewHost|10.0.26100.1
Microsoft.Windows.AssignedAccessLockApp|1000.25128.1000.0
Microsoft.Windows.CapturePicker|10.0.19580.1000
Microsoft.Windows.CloudExperienceHost|10.0.26100.1
Microsoft.Windows.ContentDeliveryManager|10.0.26100.1
Microsoft.Windows.ParentalControls|1000.25128.1000.0
Microsoft.Windows.PinningConfirmationDialog|1000.25140.1001.0
Microsoft.Windows.PrintQueueActionCenter|1.0.2.0
Microsoft.Windows.XGpuEjectDialog|10.0.26100.1
Microsoft.XboxGameCallableUI|1000.25128.1000.0
MicrosoftWindows.UndockedDevKit|10.0.26100.1
Windows.CBSPreview|10.0.19580.1000
windows.immersivecontrolpanel|10.0.8.1000
Windows.PrintDialog|6.2.3.0
Microsoft.VCLibs.140.00|14.0.33519.0
Microsoft.UI.Xaml.2.8|8.2511.26001.0
Microsoft.SecHealthUI|1000.29554.1001.0
Microsoft.AAD.BrokerPlugin|1000.19580.1000.2
Microsoft.Windows.AugLoop.CBS|1.1126.2131.0
Microsoft.Windows.OOBENetworkCaptivePortal|10.0.26495.1000
Microsoft.Windows.OOBENetworkConnectionFlow|10.0.26495.1000
Microsoft.Windows.StartMenuExperienceHost|10.0.26100.4768
Microsoft.WindowsAppRuntime.CBS.1.6|6000.708.357.100
Microsoft.WindowsAppRuntime.CBS.1.8|8000.715.1812.100
MicrosoftWindows.Client.FileExp|1000.26100.4.0
MicrosoftWindows.Client.Photon|1000.26100.10.0
Microsoft.Windows.NarratorQuickStart|10.0.26100.1
NVIDIACorp.NVIDIAControlPanel|8.1.969.0
Microsoft.UI.Xaml.CBS|9.2602.17001.0
Microsoft.Windows.ShellExperienceHost|10.0.26100.8115
MicrosoftWindows.60719890.Voiess|1000.26100.8115.0
MicrosoftWindows.60719895.Livtop|1000.26100.8115.0
MicrosoftWindows.60719896.Speion|1000.26100.8115.0
MicrosoftWindows.60719898.InpApp|1000.26100.8115.0
MicrosoftWindows.Client.CBS|1000.26100.297.0
MicrosoftWindows.Client.Core|1000.26100.86.0
MicrosoftWindows.Client.OOBE|1000.26100.40.0
MicrosoftCorporationII.WinAppRuntime.Main.1.8|8000.806.2252.0
AppUp.IntelOptaneMemoryandStorageManagement|20.0.1024.0
Microsoft.VCLibs.140.00.UWPDesktop|14.0.33728.0
WinRAR.ShellExtension|1.0.0.2
NotepadPlusPlus|1.0.0.0
RealtekSemiconductorCorp.RealtekAudioControl|1.53.376.0
A-Volute.28054DF1F58B4|3.16.23.0
Microsoft.NET.Native.Framework.2.1|2.1.27427.0
Microsoft.NET.Native.Runtime.2.1|2.1.26424.0
A-Volute.SonicStudio3|3.16.23.0
Microsoft.NET.Native.Framework.2.2|2.2.29512.0
Microsoft.NET.Native.Runtime.2.2|2.2.28604.0
Microsoft.WindowsAppRuntime.1.6|6000.519.329.0
OpenAI.ChatGPT-Desktop|1.2026.43.0
Microsoft.Winget.Fonts.Source|2025.1016.311.49
Microsoft.LanguageExperiencePacktr-TR|26100.144.243.0
SandboxieShell|1.0.0.0
Microsoft.WindowsAppRuntime.1.7|7000.785.2325.0
Microsoft.Windows.Photos|2026.11020.20001.0
DTSInc.DTSSoundUnbound|2026.1.2.0
Microsoft.ECApp|10.0.26100.8246
Microsoft.LockApp|10.0.26100.8246
5319275A.WhatsAppDesktop|2.2613.101.0
Microsoft.6365217CE6EB4|102.2504.16004.0
Microsoft.WindowsAppRuntime.1.8|8000.836.2153.0
Microsoft.DesktopAppInstaller|1.28.240.0
Claude|1.3883.0.0
Microsoft.OfficePushNotificationUtility|16.0.19929.20090
Microsoft.Office.ActionsServer|16.0.19929.20090
aimgr|0.20.47.0
Microsoft.Copilot|147.0.3912.84
Microsoft.Winget.Source|2026.424.1800.9
